hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,year
0,43,42,42,42,42,40,40,2020
1,44,43,43,43,42,41,42,2020
2,44,44,43,44,43,42,43,2020
3,43,43,43,44,44,44,44,2020
4,44,43,43,43,43,43,44,2020
5,41,41,41,40,41,41,43,2020
6,35,34,34,34,34,36,39,2020
7,31,30,30,30,30,33,34,2020
8,30,29,29,29,29,32,32,2020
9,29,28,29,28,29,31,31,2020
10,29,28,28,28,28,30,30,2020
11,29,28,28,28,28,29,30,2020
12,29,28,28,28,28,28,30,2020
13,30,28,28,28,28,28,30,2020
14,30,28,28,28,28,29,32,2020
15,30,28,28,28,28,29,33,2020
16,29,28,28,28,27,29,32,2020
17,28,27,27,27,27,29,31,2020
18,28,27,27,27,26,28,31,2020
19,29,28,28,28,28,29,32,2020
20,32,31,31,31,29,31,34,2020
21,34,34,33,34,32,33,36,2020
22,37,37,36,36,35,36,39,2020
23,40,40,39,40,38,38,42,2020
0,42,42,42,42,41,40,39,2021
1,43,43,43,43,43,41,41,2021
2,44,43,43,43,44,43,43,2021
3,44,43,43,43,45,44,44,2021
4,43,42,42,42,43,43,44,2021
5,39,37,38,38,38,40,42,2021
6,33,32,32,32,32,36,38,2021
7,29,27,28,27,28,33,33,2021
8,27,26,26,26,27,32,30,2021
9,27,25,25,25,26,30,29,2021
10,27,25,25,25,26,28,27,2021
11,26,25,25,25,25,26,26,2021
12,26,25,25,24,24,25,25,2021
13,26,25,25,24,24,25,25,2021
14,27,25,25,24,24,26,29,2021
15,28,26,26,25,25,27,31,2021
16,27,25,26,25,25,27,31,2021
17,27,24,25,24,24,27,30,2021
18,27,25,25,24,24,27,29,2021
19,29,27,27,26,26,28,31,2021
20,32,31,30,29,28,30,33,2021
21,35,34,34,33,31,32,35,2021
22,38,37,37,36,34,35,38,2021
23,40,40,40,39,37,37,41,2021
0,41,40,40,40,40,38,38,2022
1,41,41,41,41,41,39,39,2022
2,41,41,41,41,42,40,40,2022
3,42,41,41,42,42,41,42,2022
4,40,38,39,39,40,40,42,2022
5,35,33,34,33,34,37,39,2022
6,29,27,27,27,27,34,36,2022
7,25,23,23,23,24,31,31,2022
8,25,23,23,23,24,30,29,2022
9,26,25,25,25,26,28,27,2022
10,27,26,26,26,26,26,26,2022
11,27,26,26,26,25,24,25,2022
12,27,26,25,25,25,23,24,2022
13,27,26,26,25,25,23,24,2022
14,28,26,26,26,24,24,29,2022
15,27,25,24,24,23,25,31,2022
16,25,23,22,22,22,26,30,2022
17,24,20,21,21,21,26,30,2022
18,23,20,20,20,20,26,29,2022
19,27,24,24,24,23,27,31,2022
20,32,30,30,29,27,30,34,2022
21,35,33,33,32,30,32,36,2022
22,37,36,36,35,33,34,38,2022
23,39,39,39,38,35,36,40,2022
