hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,41,40,40,40,40,38,38
1,41,41,41,41,41,39,39
2,41,41,41,41,42,40,40
3,42,41,41,42,42,41,42
4,40,38,39,39,40,40,42
5,35,33,34,33,34,37,39
6,29,27,27,27,27,34,36
7,25,23,23,23,24,31,31
8,25,23,23,23,24,30,29
9,26,25,25,25,26,28,27
10,27,26,26,26,26,26,26
11,27,26,26,26,25,24,25
12,27,26,25,25,25,23,24
13,27,26,26,25,25,23,24
14,28,26,26,26,24,24,29
15,27,25,24,24,23,25,31
16,25,23,22,22,22,26,30
17,24,20,21,21,21,26,30
18,23,20,20,20,20,26,29
19,27,24,24,24,23,27,31
20,32,30,30,29,27,30,34
21,35,33,33,32,30,32,36
22,37,36,36,35,33,34,38
23,39,39,39,38,35,36,40
