,direction,name_to_1,speed_average
0,SOUTH-NORTH,79,25.31017531498888
1,SOUTH-NORTH,59,24.601168149318013
2,NORTH-SOUTH,76,25.512102792157155
3,SOUTH-NORTH,153,40.58605683215714
4,NORTH-SOUTH,106,21.15947329380564
5,NORTH-SOUTH,170,28.15954175934766
6,SOUTH-NORTH,106,30.303743246520444
7,SOUTH-NORTH,39,18.19294032623425
8,SOUTH-NORTH,92,37.79375920432914
9,SOUTH-NORTH,134,42.61185179675093
10,NORTH-SOUTH,116,30.779408302394064
11,NORTH-SOUTH,112,20.24334436178439
12,SOUTH-NORTH,34,22.214579688791694
13,NORTH-SOUTH,188,16.412946840148695
14,NORTH-SOUTH,134,24.262020014936983
15,NORTH-SOUTH,153,21.336160365670867
16,SOUTH-NORTH,116,29.859591549392146
17,NORTH-SOUTH,79,17.75494699773165
18,NORTH-SOUTH,39,21.20519495938473
19,NORTH-SOUTH,140,20.20333297236823
20,NORTH-SOUTH,53,17.881345070437362
21,SOUTH-NORTH,170,26.59455868546331
22,NORTH-SOUTH,45,22.08283222144551
23,NORTH-SOUTH,85,18.080125154395844
24,NORTH-SOUTH,72,20.62388299976279
25,SOUTH-NORTH,127,39.205260563469224
26,NORTH-SOUTH,59,21.599689523098593
27,NORTH-SOUTH,127,27.961074499710904
28,SOUTH-NORTH,121,32.261217815589326
29,SOUTH-NORTH,45,21.502078947353603
30,NORTH-SOUTH,175,24.63003471713862
31,NORTH-SOUTH,63,20.291237212779833
32,NORTH-SOUTH,162,25.79724932051149
33,SOUTH-NORTH,112,30.909696406483274
34,SOUTH-NORTH,32,21.53227847799851
35,NORTH-SOUTH,34,22.315716209577467
36,NORTH-SOUTH,92,23.631241042727943
37,SOUTH-NORTH,72,22.024316036582647
38,NORTH-SOUTH,94,20.39282481403167
39,NORTH-SOUTH,121,21.138054361208297
40,SOUTH-NORTH,162,31.192340622624155
41,SOUTH-NORTH,85,30.69687571035582
42,SOUTH-NORTH,140,42.86770153313798
43,SOUTH-NORTH,76,18.85144205587843
44,SOUTH-NORTH,53,28.176472942883617
45,SOUTH-NORTH,175,17.24908289961338
46,NORTH-SOUTH,147,19.451214391735906
47,SOUTH-NORTH,147,35.28061860638992
48,SOUTH-NORTH,63,21.972121818636023
49,SOUTH-NORTH,94,39.18842915431011
